,Effectsize_ID,summary_statistic,effect_size,First_author,Year_published,Title,Paper_ID,Study_ID,Group_ID,Group_ID_notes,Species,Class,Rearing_type,Competition_order,Competition_order_notes,Perception_competition,Perception_competition_notes,Precendence,Precedence_notes,Fertilisation_mode,PC_variation_level,PC_variation_level_note,PC_variation_cause,PC_variation_notes,PC_variation_cause2,PC_variation_notes2,PC_variation_nature,Study_design,Study_design_notes,Fertilisation_methods,PC_type,PC_type_notes,Precop_correlation,Precop_correlation_notes,Postcop_correlation,Postcop_correlation_notes,Coin,Coin_notes,Inverse_precedence,Inverse_precedence_notes,N,N_notes,N_dependent,Corr_r,estimate,SE,n_groups,n_groups_notes,CI_lower,CI_upper,F,F_direction,F_n_goups,t,t_n_groups,p,mean_low,n_low,SD_low,SE_low,mean_med1,n_med1,SD_med1,mean_med2,n_med2,SD_med2,mean_high,n_high,SD_high,SE_high,Data_location,Notes,effect_size_group2,effect_size_est,effect_size_t,effect_size_F,effect_size_p,effect_size2,N2,yi,vi
42,44,effect_size_group2,0.350297375,Denk,2005,Paternity in mallards: Effects of sperm quality and female sperm selection for inbreeding avoidance,21,21,24,NA,Anas_platyrhynchos,Aves,6,3,NA,4,NA,5,NA,1,1,NA,1,NA,1,semi natural outdoor rearing,1,3,NA,2,4,NA,1,NA,1,NA,1,NA,1,NA,6,"""6 different pairs of males"" but multiple clutches",independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.69,3,30.78,5.2,NA,NA,NA,NA,NA,NA,61.09,3,30.78,5.2,Fig. 3A,also measured sperm length but various models are reported and it's not clear how they differ,0.350297375,NA,NA,NA,NA,0.350297375,6,0.365782683,0.333333333
43,45,Corr_r,0.64,Sekii,2013,Phenotypic engineering of spermproductionrate confirms evolutionarypredictions of sperm competition theory,22,22,25,NA,Macrostomum_lignano,unknown,4,2,NA,2,isolation,2,slight second male precendence (referenced in this study),1,2,NA,4,NA,4,NA,2,4,NA,1,1,sperm production rate,1,NA,1,NA,1,NA,1,NA,60,NA,independent,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig.4A,also measured testes size but not reported,NA,NA,NA,NA,NA,0.64,60,0.758173745,0.01754386
44,46,effect_size_group2,0.177711258,Cook,1997,Predicting variation in sperm precedence,23,23,26,NA,Plodia_interpunctella,Insecta,4,2,NA,2,NA,3,large variation in P2/sperm mixing (based on results),1,2,NA,4,NA,4,NA,2,4,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,37,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,18,0.32,NA,NA,NA,NA,NA,NA,NA,0.88,19,0.22,NA,"Table 1, small second (early) vs large second (early)",NA,0.177711258,NA,NA,NA,NA,0.177711258,37,0.179618311,0.029411765
45,47,effect_size_group2,0.507339621,Cook,1997,Predicting variation in sperm precedence,23,23,27,NA,Plodia_interpunctella,Insecta,4,2,NA,2,NA,3,large variation in P2/sperm mixing (based on results),1,2,NA,4,NA,4,NA,2,4,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,39,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,16,0.38,NA,NA,NA,NA,NA,NA,NA,0.75,23,0.27,NA,"Table 1, small second (late) vs large second (late)",NA,0.507339621,NA,NA,NA,NA,0.507339621,39,0.559140742,0.027777778
46,48,Corr_r,0.94,Bretman,2009,Promiscuous females avoid inbreeding by controlling sperm storage,24,24,28,NA,Gryllus_bimaculatus,Insecta,4,3,NA,2,NA,3,NA,1,1,NA,1,NA,5,NA,1,2,NA,1,1,NA,1,NA,1,NA,1,NA,1,NA,17,NA,independent,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,NA,NA,0.94,17,1.738049345,0.071428571
47,49,effect_size_est,0.471101642,Drodge-Young,2016,Resolving mechanisms of short-term competitive fertilization success in the red flour beetle,25,25,29,NA,Tribolium_castaneum,Insecta,4,2,NA,2,NA,2,cited in paper,1,1,NA,1,NA,5,NA,1,1,NA,1,1,NA,5,NA,1,NA,1,NA,1,NA,95,NA,independent,NA,2.66,0.68,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1,NA,NA,0.471101642,NA,NA,NA,0.471101642,95,0.511485271,0.010869565
48,50,effect_size_group2,0.470133596,Geßner,2017,Sexual selection for genetic compatibility: the role of the major histocompatibility complex on cryptic female choice in Chinook salmon (Oncorhynchus tshawytscha),26,26,30,NA,Oncorhynchus_tshawytscha,Actinopterygii,1,3,NA,4,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,NA,1,NA,1,NA,1,NA,1,NA,84,"Some males were used more than once, but velocity was scored relative to the competitor",independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.22,42,24.62,3.78,NA,NA,NA,NA,NA,NA,60.33,42,24.62,3.78,Fig. 1,NA,0.470133596,NA,NA,NA,NA,0.470133596,84,0.510241825,0.012345679
49,51,Corr_r,-0.38,Garcia-Gonzalez,2007,Shorter sperm confer higher competitive fertilization success,27,27,31,NA,Onthophagus_taurus,Insecta,4,2,large and small in alternating order but only p2 reported,2,NA,3,NA,1,1,NA,1,NA,1,NA,1,2,NA,1,3,total,1,NA,1,NA,1,NA,1,NA,33,NA,independent,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 1,NA,NA,NA,NA,NA,NA,-0.38,33,-0.40005965,0.033333333
50,53,Corr_r,0.82,Beausoleil,2012,"Spawning coloration, female choice and sperm competition in the redside dace, Clinostomus elongatus",28,28,32,NA,Clinostomus_elongatus,Actinopterygii,2,3,NA,5,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,NA,1,NA,5,NA,1,NA,1,NA,9,NA,independent,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 5,NA,NA,NA,NA,NA,NA,0.82,9,1.156817465,0.166666667
51,54,effect_size_group2,0.068776241,Morrow,2001,Sperm competition experiments between lines of crickets producing different sperm lengths,31,31,35,NA,Gryllus_bimaculatus,Insecta,4,2,NA,2,NA,3,approx 50% based on Fig. 1,1,1,NA,5,NA,5,NA,2,4,NA,1,3,total,1,NA,1,NA,1,NA,1,NA,97,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,47,0.4,NA,NA,NA,NA,NA,NA,NA,0.52,50,0.32,NA,Fig. 1,NA,0.068776241,NA,NA,NA,NA,0.068776241,97,0.068884991,0.010638298
52,55,Corr_r,-0.2,Stoltz,2006,"Sperm competition in a fish with external fertilization: The contribution of sperm number, speed and length",32,32,36,some individuals may be the same as 37 and 38,Lepomis_macrochirus,Actinopterygii,2,3,NA,3,NA,5,NA,2,4,ejaculates manupulated but males also vary in their mating role (satellite etc),4,NA,4,NA,1,1,NA,2,3,tail,1,NA,5,controlling for sperm number,1,NA,1,NA,14,not clear if dependent or independent,dependent,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,7,-0.202732554,0.25
53,56,Corr_r,-0.11,Stoltz,2006,"Sperm competition in a fish with external fertilization: The contribution of sperm number, speed and length",32,32,36,some individuals may be the same as 37 and 38,Lepomis_macrochirus,Actinopterygii,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,1,1,NA,2,4,NA,1,NA,5,controlling for sperm number,1,NA,1,NA,11,not clear if dependent or independent,dependent,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,5.5,-0.110446916,0.4
54,57,Corr_r,0.55,Stoltz,2006,"Sperm competition in a fish with external fertilization: The contribution of sperm number, speed and length",32,32,37,NA,Lepomis_macrochirus,Actinopterygii,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,1,NA,1,NA,1,NA,1,NA,1,NA,35,NA,independent,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3A,NA,NA,NA,NA,NA,NA,0.55,35,0.618381314,0.03125
55,58,Corr_r,0.51,Stoltz,2006,"Sperm competition in a fish with external fertilization: The contribution of sperm number, speed and length",32,32,38,NA,Lepomis_macrochirus,Actinopterygii,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,1,NA,1,NA,1,NA,1,NA,1,NA,45,NA,independent,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 3B,NA,NA,NA,NA,NA,NA,0.51,45,0.562729769,0.023809524
56,59,Corr_r,-0.031,Dziminski,2009,Sperm competitiveness in frogs: Slow and steady wins the race,33,33,39,NA,Crinia_georgiana,Amphibia,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,5,NA,4,NA,3,NA,1,NA,1,NA,40,NA,independent,-0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,NA,NA,NA,NA,NA,NA,-0.031,40,-0.031009936,0.027027027
57,60,Corr_r,0.035,Dziminski,2009,Sperm competitiveness in frogs: Slow and steady wins the race,33,33,39,NA,Crinia_georgiana,Amphibia,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,5,NA,4,NA,3,NA,1,NA,1,NA,40,NA,independent,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,NA,NA,NA,NA,NA,NA,0.035,40,0.035014302,0.027027027
58,61,Corr_r,0.157,Dziminski,2009,Sperm competitiveness in frogs: Slow and steady wins the race,33,33,39,NA,Crinia_georgiana,Amphibia,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,3,head,4,NA,5,NA,1,NA,1,NA,40,NA,independent,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,NA,NA,NA,NA,NA,NA,0.157,40,0.158309385,0.027027027
59,62,Corr_r,-0.051,Dziminski,2009,Sperm competitiveness in frogs: Slow and steady wins the race,33,33,39,NA,Crinia_georgiana,Amphibia,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,3,tail,4,NA,5,NA,1,NA,1,NA,40,NA,independent,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,NA,NA,NA,NA,NA,NA,-0.051,40,-0.051044286,0.027027027
60,63,Corr_r,-0.315,Dziminski,2009,Sperm competitiveness in frogs: Slow and steady wins the race,33,33,39,NA,Crinia_georgiana,Amphibia,2,3,NA,3,NA,5,NA,2,4,NA,4,NA,4,NA,2,1,NA,2,4,NA,4,NA,4,NA,1,NA,1,NA,40,NA,independent,-0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw data,NA,NA,NA,NA,NA,NA,-0.315,40,-0.326086553,0.027027027
61,64,effect_size_group2,0.025425159,Laugen,2022,Sperm competition in yellow dung flies: No consistent effect of sperm size,34,34,40,mated to females with short SD,Scathophaga_stercoraria,Insecta,4,2,NA,4,NA,2,based on P2 paternity reported,1,1,NA,5,NA,5,NA,2,2,NA,1,3,total,5,body size in model,1,NA,1,NA,1,NA,32,64 / 2,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,16,0.23,NA,NA,NA,NA,NA,NA,NA,0.76,16,0.25,NA,Fig. 2B,NA,0.025425159,NA,NA,NA,NA,0.025425159,32,0.02543064,0.034482759
62,65,effect_size_group2,-0.536948986,Laugen,2022,Sperm competition in yellow dung flies: No consistent effect of sperm size,34,34,41,mated to females with long SD,Scathophaga_stercoraria,Insecta,4,2,NA,4,NA,2,based on P2 paternity reported,1,1,NA,5,NA,5,NA,2,2,NA,1,3,total,5,body size in model,1,NA,1,NA,1,NA,32,64 / 2,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,16,0.16,NA,NA,NA,NA,NA,NA,NA,0.68,16,0.26,NA,Fig. 2B,NA,-0.536948986,NA,NA,NA,NA,-0.536948986,32,-0.599858662,0.034482759
63,66,effect_size_est,0.118443738,Laugen,2022,Sperm competition in yellow dung flies: No consistent effect of sperm size,34,34,42,temperature manupulation,Scathophaga_stercoraria,Insecta,4,2,NA,4,NA,2,based on P2 paternity reported,1,1,NA,2,temperature,2,NA,2,2,NA,1,3,total,5,body size in model,1,NA,1,NA,1,NA,81,NA,independent,NA,0.27,0.32,2,assumed balanced n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,error assumed to be SE but no mention in paper,NA,0.118443738,NA,NA,NA,0.118443738,81,0.119002327,0.012820513
64,67,Corr_r,0.77,Neff,2002,Sperm investment and alternative mating tactics in bluegill sunfish (Lepomis macrochirus),35,35,43,NA,Lepomis_macrochirus,Actinopterygii,1,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,4,testes size and sperm density,2,1,NA,1,NA,2,gonad weight,1,NA,1,NA,12,NA,independent,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,NA,NA,0.77,12,1.020327758,0.111111111
65,68,Corr_r,0.58,Birkhead,1999,Sperm mobility determines the outcome of sperm competition in the domestic fowl,36,36,44,NA,Gallus_gallus,Aves,6,3,NA,3,NA,5,NA,1,1,NA,1,NA,6,NA,1,5,NA,2,5,NA,1,NA,1,NA,1,NA,1,NA,13,NA,independent,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,13,0.662462707,0.1
66,69,effect_size_est,-0.043758477,Boschetto,2010,Sperm number and velocity affect sperm competition success in the guppy (Poecilia reticulata),37,37,45,NA,Poecilia_reticulata,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,4,NA,4,NA,2,1,NA,2,3,head,5,NA,5,NA,1,NA,1,NA,17,NA,independent,NA,-0.755,5.58,continuous,NA,-12.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 2 full model,NA,NA,-0.043758477,NA,NA,NA,-0.043758477,17,-0.043786439,0.071428571
67,70,effect_size_est,-0.433942917,Boschetto,2010,Sperm number and velocity affect sperm competition success in the guppy (Poecilia reticulata),37,37,45,NA,Poecilia_reticulata,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,4,NA,4,NA,2,1,NA,2,3,midpiece,5,NA,5,NA,1,NA,1,NA,17,NA,independent,NA,-0.506,0.354,continuous,NA,-1.26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 2 full model,NA,NA,-0.433942917,NA,NA,NA,-0.433942917,17,-0.464744144,0.071428571
68,71,effect_size_est,-0.575059965,Boschetto,2010,Sperm number and velocity affect sperm competition success in the guppy (Poecilia reticulata),37,37,45,NA,Poecilia_reticulata,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,4,NA,4,NA,2,1,NA,2,3,total,5,NA,5,NA,1,NA,1,NA,17,NA,independent,NA,-0.029,0.0145,continuous,NA,-0.34,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 2 full model,NA,NA,-0.575059965,NA,NA,NA,-0.575059965,17,-0.65505028,0.071428571
69,72,Corr_r,0.66,Boschetto,2010,Sperm number and velocity affect sperm competition success in the guppy (Poecilia reticulata),37,37,45,NA,Poecilia_reticulata,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,4,NA,4,NA,2,1,NA,2,4,NA,5,NA,5,NA,1,NA,1,NA,17,NA,independent,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 2B,NA,NA,NA,NA,NA,NA,0.66,17,0.792813632,0.071428571
70,73,Corr_r,0.71,Boschetto,2010,Sperm number and velocity affect sperm competition success in the guppy (Poecilia reticulata),37,37,45,NA,Poecilia_reticulata,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,4,NA,4,NA,2,1,NA,2,1,NA,5,NA,5,NA,1,NA,1,NA,17,NA,independent,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 1A,NA,NA,NA,NA,NA,NA,0.71,17,0.887183863,0.071428571
71,74,Corr_r,-0.349,Mehlis,2015,Sperm quality but not relatedness predicts sperm competition success in threespine sticklebacks (Gasterosteus aculeatus),38,38,46,NA,Gasterosteus_aculeatus,Actinopterygii,4,3,NA,3,NA,5,NA,2,1,NA,1,NA,5,NA,1,1,NA,2,3,tail,5,body size in model,1,NA,1,NA,1,NA,39,NA,independent,-0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in text,NA,NA,NA,NA,NA,NA,-0.349,39,-0.364304607,0.027777778
72,75,Corr_r,0.45,Vladic,2001,Sperm quality in the alternative reproductive tactics of Atlantic salmon: The importance of the loaded raffle mechanism,39,39,47,Parr males,Salmo_salar,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,"PCA of multiple traits, mostly to do with motility",NA,NA,1,NA,1,NA,1,NA,12,NA,independent,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 2,They use PCA of a bunch of traits. Not sure how to code trait,NA,NA,NA,NA,NA,0.45,12,0.484700279,0.111111111
73,76,Corr_r,0.65,Vladic,2001,Sperm quality in the alternative reproductive tactics of Atlantic salmon: The importance of the loaded raffle mechanism,39,39,48,Andronomous males,Salmo_salar,Actinopterygii,2,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,4,"PCA of multiple traits, mostly to do with motility",NA,NA,1,NA,1,NA,1,NA,12,NA,independent,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 2,They use PCA of a bunch of traits. Not sure how to code trait,NA,NA,NA,NA,NA,0.65,12,0.775298706,0.111111111
74,77,Corr_r,0.47,Gasparini,2010,Sperm swimming velocity predicts competitive fertilization success in the green swordtail Xiphophorus helleri,40,40,49,NA,Xiphophorus_hellerii,Actinopterygii,4,3,NA,3,NA,5,NA,1,1,NA,1,NA,5,NA,1,1,NA,2,4,NA,3,Table 3,4,very weak corelation; Table 3,1,NA,1,NA,16,NA,independent,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fig. 1,NA,NA,NA,NA,NA,NA,0.47,16,0.510070337,0.076923077
75,78,effect_size_est,-0.418920461,Sutter,2016,The copulatory plug delays ejaculation by rival males and affects sperm competition outcome in house mice,41,41,50,NA,Mus_musculus_domesticus,Mammalia,4,1,NA,4,NA,3,based on fig. 3,1,2,NA,2,NA,2,NA,2,1,NA,1,7,copulatory plug,1,NA,1,NA,2,plug removal = higher fertilisation,1,NA,42,42 trials but 24 pairs (pairs were mated twice),dependent,NA,-0.96,0.428,2,assumed balanced n,-1.83,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 4,NA,NA,-0.418920461,NA,NA,NA,0.418920461,21,0.446381987,0.055555556
76,79,effect_size_t,0.630949827,Lewis,2013,The interplay between different stages of reproduction in males of the moth Plodia interpunctella,42,42,51,p1,Plodia_interpunctella,Insecta,4,1,NA,2,NA,2,intext,1,1,NA,1,NA,5,NA,1,2,NA,1,1,NA,5,NA,5,controlling for non-fertile sperm,1,NA,1,NA,23,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In text,direction of test stat reversed based on text description,NA,NA,0.630949827,NA,NA,0.630949827,23,0.742992617,0.05
77,80,effect_size_t,-0.26928931,Lewis,2013,The interplay between different stages of reproduction in males of the moth Plodia interpunctella,42,42,52,p2,Plodia_interpunctella,Insecta,4,2,NA,2,NA,2,intext,1,1,NA,1,NA,5,NA,1,2,NA,1,1,NA,5,NA,5,controlling for non-fertile sperm,1,NA,1,NA,18,NA,independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In text,direction of test stat reversed based on text description,NA,NA,-0.26928931,NA,NA,-0.26928931,18,-0.276097408,0.066666667
78,81,effect_size_F,0.738107475,Flowers,2016,Use of heterospermic inseminations and paternity testing to evaluate the relative contributions of common sperm traits and seminal plasma proteins in boar fertility,https://unsw-my.sharepoint.com/personal/z5393783_ad_unsw_edu_au/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fz5393783%5Fad%5Funsw%5Fedu%5Fau%2FDocuments%2FUniversity,43,53,NA,Sus_domestica,Mammalia,3,3,NA,3,NA,5,NA,1,1,NA,1,NA,6,NA,1,3,ejculate split 12 times,2,5,NA,1,NA,1,NA,1,NA,1,NA,12,12 males but the ejaculate was split many times to comete against all other males,dependent,NA,NA,NA,NA,NA,NA,NA,5.31,positive,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 5,NA,NA,NA,NA,0.738107475,NA,0.738107475,6,0.946308967,0.333333333
79,82,effect_size_F,0.099751656,Simmons,2003,Variation in paternity in the field cricket Teleogryllus oceanicus: No detectable influence of sperm numbers or sperm length,44,44,54,NA,Teleogryllus_oceanicus,Insecta,4,2,NA,2,NA,3,Based on figures,1,1,NA,1,NA,4,NA,1,2,NA,1,3,total,1,NA,5,model includes sperm number,1,NA,1,NA,50,based on df in Table 1,independent,NA,NA,NA,NA,NA,NA,NA,0.306,positive,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1,NA,NA,NA,NA,0.099751656,NA,0.099751656,50,0.100084501,0.021276596
80,83,effect_size_F,0.283529281,Simmons,2003,Variation in paternity in the field cricket Teleogryllus oceanicus: No detectable influence of sperm numbers or sperm length,44,44,54,NA,Teleogryllus_oceanicus,Insecta,4,2,NA,2,NA,3,Based on figures,1,1,NA,4,spermatophore attachment time = sperm number,4,NA,2,1,NA,1,1,NA,1,NA,5,model includes sperm length,1,NA,1,NA,50,based on df in Table 1,independent,NA,NA,NA,NA,NA,NA,NA,2.589,positive,continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1,NA,NA,NA,NA,0.283529281,NA,0.283529281,50,0.291515717,0.021276596
81,84,Corr_r,0.07,Yamane,2015,Male seminal fluid substances affect sperm competition success and female reproductive behavior in a seed beetle,14,14,55,females 2 days after 1st mating,Callosobruchus_maculatus,Insecta,4,2,NA,2,NA,2,based on Fig. 2,1,2,inject females with sfps,4,NA,4,NA,2,4,males naturally mated but the females were injected with sfps,3,7,NA,1,NA,1,NA,1,NA,1,NA,143,calculated from raw data,independent,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,control = lowest as wasn't injected. Frac 3 = highest,NA,NA,NA,NA,NA,0.07,143,0.070114671,0.007142857
82,85,Corr_r,0.822,Ratkin,1999,Sperm competition and fertilization success of Atlantic halibut (Hippoglossus hippoglossus L.),45,45,56,experiment 1,Gadus_morhua,Actinopterygii,1,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,1,NA,1,NA,1,NA,1,NA,1,NA,10,NA,independent,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data taken from Table 2,NA,NA,NA,NA,NA,NA,0.822,10,1.162953264,0.142857143
83,86,Corr_r,0.255,Ratkin,1999,Sperm competition and fertilization success of Atlantic halibut (Hippoglossus hippoglossus L.),45,45,56,experiment 1,Gadus_morhua,Actinopterygii,1,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,5,NA,1,NA,1,NA,1,NA,1,NA,7,NA,independent,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data taken from Table 2,NA,NA,NA,NA,NA,NA,0.255,7,0.260753317,0.25
84,87,Corr_r,0.371,Ratkin,1999,Sperm competition and fertilization success of Atlantic halibut (Hippoglossus hippoglossus L.),45,46,57,experiment 2,Gadus_morhua,Actinopterygii,1,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,1,EVSC mating,1,NA,1,NA,1,NA,1,NA,7,states 12 but there is missing data,independent,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data taken from Table 2,NA,NA,NA,NA,NA,NA,0.371,7,0.389582211,0.25
85,88,Corr_r,-0.387,Ratkin,1999,Sperm competition and fertilization success of Atlantic halibut (Hippoglossus hippoglossus L.),45,46,57,experiment 2,Gadus_morhua,Actinopterygii,1,3,NA,3,NA,5,NA,2,1,NA,1,NA,1,NA,1,1,NA,2,1,EDSC mating,1,NA,1,NA,1,NA,1,NA,7,states 12 but there is missing data,independent,-0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data taken from Table 3,NA,NA,NA,NA,NA,NA,-0.387,7,-0.408266742,0.25
